zipcode,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
98122,2,1.0,1.0,1.0,95.0,94.0
98122,2,1.0,0.0,1.0,140.0,88.0
98112,6,2.0,2.0,3.0,250.0,97.0
98122,5,1.0,2.0,3.0,225.0,95.0
98122,2,1.0,1.0,1.0,65.0,94.0
98122,2,1.0,1.0,1.0,78.0,100.0
98122,2,1.0,1.0,1.0,59.0,80.0
98122,2,1.0,1.0,1.0,55.0,90.0
98122,2,1.0,1.0,1.0,129.0,98.0
98122,2,1.0,1.0,1.0,65.0,96.0
98122,6,2.0,3.0,3.0,160.0,100.0
98122,2,1.0,1.0,1.0,75.0,88.0
98122,2,1.0,1.0,1.0,80.0,98.0
98122,2,1.0,1.0,1.0,95.0,94.0
98122,2,1.0,0.0,1.0,85.0,98.0
98122,6,1.0,2.0,4.0,99.0,89.0
98122,2,1.0,1.0,1.0,90.0,100.0
98122,4,1.5,1.0,2.0,73.0,92.0
98112,6,2.0,2.0,2.0,170.0,96.0
98122,2,1.5,1.0,1.0,48.0,99.0
98112,2,2.0,1.0,1.0,90.0,98.0
98122,3,1.0,1.0,2.0,82.0,95.0
98122,4,1.0,2.0,2.0,199.0,100.0
98122,2,1.0,1.0,1.0,105.0,96.0
98122,8,2.0,2.0,2.0,250.0,80.0
98122,2,1.0,1.0,1.0,75.0,98.0
98122,3,1.0,1.0,1.0,95.0,96.0
98112,4,1.0,1.0,2.0,150.0,98.0
98122,2,1.0,1.0,1.0,65.0,90.0
98122,3,1.0,1.0,1.0,120.0,100.0
98122,5,1.5,2.0,2.0,300.0,100.0
98122,2,1.0,1.0,1.0,89.0,98.0
98112,2,1.0,1.0,1.0,109.0,95.0
98122,3,1.0,1.0,1.0,75.0,100.0
98122,6,1.0,2.0,3.0,99.0,84.0
98112,5,2.5,3.0,3.0,150.0,97.0
98122,6,1.5,3.0,4.0,175.0,100.0
98122,4,1.0,1.0,2.0,120.0,98.0
98112,2,1.0,1.0,1.0,45.0,100.0
98122,7,1.5,2.0,5.0,150.0,100.0
98112,2,1.5,1.0,1.0,50.0,98.0
98122,2,1.0,1.0,1.0,129.0,88.0
98122,6,3.5,3.0,3.0,295.0,96.0
98122,2,1.0,1.0,1.0,99.0,100.0
98122,6,2.5,2.0,3.0,175.0,95.0
98122,5,2.0,2.0,3.0,150.0,80.0
98122,2,1.0,1.0,1.0,109.0,100.0
98122,4,1.0,1.0,2.0,85.0,95.0
98122,3,1.0,1.0,1.0,80.0,94.0
98122,2,1.0,1.0,1.0,85.0,98.0
98122,4,2.0,2.0,2.0,200.0,100.0
98112,2,1.0,1.0,1.0,169.0,97.0
98122,4,1.0,1.0,2.0,130.0,98.0
98122,2,1.0,1.0,1.0,79.0,97.0
98112,1,1.0,1.0,1.0,125.0,98.0
98122,2,1.0,1.0,1.0,80.0,97.0
98122,2,1.0,1.0,1.0,66.0,100.0
98122,2,1.0,1.0,1.0,97.0,98.0
98122,2,1.0,1.0,1.0,58.0,100.0
98122,10,3.5,5.0,7.0,350.0,93.0
98122,4,1.5,2.0,2.0,375.0,100.0
98122,6,2.0,3.0,5.0,240.0,93.0
98122,5,1.0,2.0,2.0,189.0,100.0
98122,6,3.5,4.0,5.0,250.0,100.0
98122,6,1.0,2.0,2.0,125.0,99.0
98122,7,1.5,0.0,2.0,155.0,100.0
